PassengerId,Survived,Pclass,Sex,Age,Fare,Embarked,Title,FamilySize,Singleton,SmallFamily,LargeFamily
1,Did Not Survive,3,male,22,7.25,S,Mr,2,0,1,0
2,Survived,1,female,38,71.2833,C,Mrs,2,0,1,0
3,Survived,3,female,26,7.925,S,Miss,1,1,0,0
4,Survived,1,female,35,53.1,S,Mrs,2,0,1,0
5,Did Not Survive,3,male,35,8.05,S,Mr,1,1,0,0
6,Did Not Survive,3,male,26,8.4583,Q,Mr,1,1,0,0
7,Did Not Survive,1,male,54,51.8625,S,Mr,1,1,0,0
8,Did Not Survive,3,male,2,21.075,S,Master,5,0,0,1
9,Survived,3,female,27,11.1333,S,Mrs,3,0,1,0
10,Survived,2,female,14,30.0708,C,Mrs,2,0,1,0
11,Survived,3,female,4,16.7,S,Miss,3,0,1,0
12,Survived,1,female,58,26.55,S,Miss,1,1,0,0
13,Did Not Survive,3,male,20,8.05,S,Mr,1,1,0,0
14,Did Not Survive,3,male,39,31.275,S,Mr,7,0,0,1
15,Did Not Survive,3,female,14,7.8542,S,Miss,1,1,0,0
16,Survived,2,female,55,16.0,S,Mrs,1,1,0,0
17,Did Not Survive,3,male,2,29.125,Q,Master,6,0,0,1
18,Survived,2,male,31,13.0,S,Mr,1,1,0,0
19,Did Not Survive,3,female,31,18.0,S,Mrs,2,0,1,0
20,Survived,3,female,31,7.225,C,Mrs,1,1,0,0
21,Did Not Survive,2,male,35,26.0,S,Mr,1,1,0,0
22,Survived,2,male,34,13.0,S,Mr,1,1,0,0
23,Survived,3,female,15,8.0292,Q,Miss,1,1,0,0
24,Survived,1,male,28,35.5,S,Mr,1,1,0,0
25,Did Not Survive,3,female,8,21.075,S,Miss,5,0,0,1
26,Survived,3,female,38,31.3875,S,Mrs,7,0,0,1
27,Did Not Survive,3,male,26,7.225,C,Mr,1,1,0,0
28,Did Not Survive,1,male,19,263.0,S,Mr,6,0,0,1
29,Survived,3,female,18,7.8792,Q,Miss,1,1,0,0
30,Did Not Survive,3,male,26,7.8958,S,Mr,1,1,0,0
31,Did Not Survive,1,male,40,27.7208,C,Royalty,1,1,0,0
32,Survived,1,female,40,146.5208,C,Mrs,2,0,1,0
33,Survived,3,female,18,7.75,Q,Miss,1,1,0,0
34,Did Not Survive,2,male,66,10.5,S,Mr,1,1,0,0
35,Did Not Survive,1,male,28,82.1708,C,Mr,2,0,1,0
36,Did Not Survive,1,male,42,52.0,S,Mr,2,0,1,0
37,Survived,3,male,26,7.2292,C,Mr,1,1,0,0
38,Did Not Survive,3,male,21,8.05,S,Mr,1,1,0,0
39,Did Not Survive,3,female,18,18.0,S,Miss,3,0,1,0
40,Survived,3,female,14,11.2417,C,Miss,2,0,1,0
41,Did Not Survive,3,female,40,9.475,S,Mrs,2,0,1,0
42,Did Not Survive,2,female,27,21.0,S,Mrs,2,0,1,0
43,Did Not Survive,3,male,26,7.8958,C,Mr,1,1,0,0
44,Survived,2,female,3,41.5792,C,Miss,4,0,1,0
45,Survived,3,female,19,7.8792,Q,Miss,1,1,0,0
46,Did Not Survive,3,male,26,8.05,S,Mr,1,1,0,0
47,Did Not Survive,3,male,26,15.5,Q,Mr,2,0,1,0
48,Survived,3,female,18,7.75,Q,Miss,1,1,0,0
49,Did Not Survive,3,male,26,21.6792,C,Mr,3,0,1,0
50,Did Not Survive,3,female,18,17.8,S,Mrs,2,0,1,0
51,Did Not Survive,3,male,7,39.6875,S,Master,6,0,0,1
52,Did Not Survive,3,male,21,7.8,S,Mr,1,1,0,0
53,Survived,1,female,49,76.7292,C,Mrs,2,0,1,0
54,Survived,2,female,29,26.0,S,Mrs,2,0,1,0
55,Did Not Survive,1,male,65,61.9792,C,Mr,2,0,1,0
56,Survived,1,male,40,35.5,S,Mr,1,1,0,0
57,Survived,2,female,21,10.5,S,Miss,1,1,0,0
58,Did Not Survive,3,male,28,7.2292,C,Mr,1,1,0,0
59,Survived,2,female,5,27.75,S,Miss,4,0,1,0
60,Did Not Survive,3,male,11,46.9,S,Master,8,0,0,1
61,Did Not Survive,3,male,22,7.2292,C,Mr,1,1,0,0
62,Survived,1,female,38,80.0,S,Miss,1,1,0,0
63,Did Not Survive,1,male,45,83.475,S,Mr,2,0,1,0
64,Did Not Survive,3,male,4,27.9,S,Master,6,0,0,1
65,Did Not Survive,1,male,40,27.7208,C,Mr,1,1,0,0
66,Survived,3,male,4,15.2458,C,Master,3,0,1,0
67,Survived,2,female,29,10.5,S,Mrs,1,1,0,0
68,Did Not Survive,3,male,19,8.1583,S,Mr,1,1,0,0
69,Survived,3,female,17,7.925,S,Miss,7,0,0,1
70,Did Not Survive,3,male,26,8.6625,S,Mr,3,0,1,0
71,Did Not Survive,2,male,32,10.5,S,Mr,1,1,0,0
72,Did Not Survive,3,female,16,46.9,S,Miss,8,0,0,1
73,Did Not Survive,2,male,21,73.5,S,Mr,1,1,0,0
74,Did Not Survive,3,male,26,14.4542,C,Mr,2,0,1,0
75,Survived,3,male,32,56.4958,S,Mr,1,1,0,0
76,Did Not Survive,3,male,25,7.65,S,Mr,1,1,0,0
77,Did Not Survive,3,male,26,7.8958,S,Mr,1,1,0,0
78,Did Not Survive,3,male,26,8.05,S,Mr,1,1,0,0
79,Survived,2,male,0,29.0,S,Master,3,0,1,0
80,Survived,3,female,30,12.475,S,Miss,1,1,0,0
81,Did Not Survive,3,male,22,9.0,S,Mr,1,1,0,0
82,Survived,3,male,29,9.5,S,Mr,1,1,0,0
83,Survived,3,female,18,7.7875,Q,Miss,1,1,0,0
84,Did Not Survive,1,male,28,47.1,S,Mr,1,1,0,0
85,Survived,2,female,17,10.5,S,Miss,1,1,0,0
86,Survived,3,female,33,15.85,S,Mrs,4,0,1,0
87,Did Not Survive,3,male,16,34.375,S,Mr,5,0,0,1
88,Did Not Survive,3,male,26,8.05,S,Mr,1,1,0,0
89,Survived,1,female,23,263.0,S,Miss,6,0,0,1
90,Did Not Survive,3,male,24,8.05,S,Mr,1,1,0,0
91,Did Not Survive,3,male,29,8.05,S,Mr,1,1,0,0
92,Did Not Survive,3,male,20,7.8542,S,Mr,1,1,0,0
93,Did Not Survive,1,male,46,61.175,S,Mr,2,0,1,0
94,Did Not Survive,3,male,26,20.575,S,Mr,4,0,1,0
95,Did Not Survive,3,male,59,7.25,S,Mr,1,1,0,0
96,Did Not Survive,3,male,26,8.05,S,Mr,1,1,0,0
97,Did Not Survive,1,male,71,34.6542,C,Mr,1,1,0,0
98,Survived,1,male,23,63.3583,C,Mr,2,0,1,0
99,Survived,2,female,34,23.0,S,Mrs,2,0,1,0
100,Did Not Survive,2,male,34,26.0,S,Mr,2,0,1,0
101,Did Not Survive,3,female,28,7.8958,S,Miss,1,1,0,0
102,Did Not Survive,3,male,26,7.8958,S,Mr,1,1,0,0
103,Did Not Survive,1,male,21,77.2875,S,Mr,2,0,1,0
104,Did Not Survive,3,male,33,8.6542,S,Mr,1,1,0,0
105,Did Not Survive,3,male,37,7.925,S,Mr,3,0,1,0
106,Did Not Survive,3,male,28,7.8958,S,Mr,1,1,0,0
107,Survived,3,female,21,7.65,S,Miss,1,1,0,0
108,Survived,3,male,26,7.775,S,Mr,1,1,0,0
109,Did Not Survive,3,male,38,7.8958,S,Mr,1,1,0,0
110,Survived,3,female,18,24.15,Q,Miss,2,0,1,0
111,Did Not Survive,1,male,47,52.0,S,Mr,1,1,0,0
112,Did Not Survive,3,female,14,14.4542,C,Miss,2,0,1,0
113,Did Not Survive,3,male,22,8.05,S,Mr,1,1,0,0
114,Did Not Survive,3,female,20,9.825,S,Miss,2,0,1,0
115,Did Not Survive,3,female,17,14.4583,C,Miss,1,1,0,0
116,Did Not Survive,3,male,21,7.925,S,Mr,1,1,0,0
117,Did Not Survive,3,male,70,7.75,Q,Mr,1,1,0,0
118,Did Not Survive,2,male,29,21.0,S,Mr,2,0,1,0
119,Did Not Survive,1,male,24,247.5208,C,Mr,2,0,1,0
120,Did Not Survive,3,female,2,31.275,S,Miss,7,0,0,1
121,Did Not Survive,2,male,21,73.5,S,Mr,3,0,1,0
122,Did Not Survive,3,male,26,8.05,S,Mr,1,1,0,0
123,Did Not Survive,2,male,32,30.0708,C,Mr,2,0,1,0
124,Survived,2,female,32,13.0,S,Miss,1,1,0,0
125,Did Not Survive,1,male,54,77.2875,S,Mr,2,0,1,0
126,Survived,3,male,12,11.2417,C,Master,2,0,1,0
127,Did Not Survive,3,male,26,7.75,Q,Mr,1,1,0,0
128,Survived,3,male,24,7.1417,S,Mr,1,1,0,0
129,Survived,3,female,18,22.3583,C,Miss,3,0,1,0
130,Did Not Survive,3,male,45,6.975,S,Mr,1,1,0,0
131,Did Not Survive,3,male,33,7.8958,C,Mr,1,1,0,0
132,Did Not Survive,3,male,20,7.05,S,Mr,1,1,0,0
133,Did Not Survive,3,female,47,14.5,S,Mrs,2,0,1,0
134,Survived,2,female,29,26.0,S,Mrs,2,0,1,0
135,Did Not Survive,2,male,25,13.0,S,Mr,1,1,0,0
136,Did Not Survive,2,male,23,15.0458,C,Mr,1,1,0,0
137,Survived,1,female,19,26.2833,S,Miss,3,0,1,0
138,Did Not Survive,1,male,37,53.1,S,Mr,2,0,1,0
139,Did Not Survive,3,male,16,9.2167,S,Mr,1,1,0,0
140,Did Not Survive,1,male,24,79.2,C,Mr,1,1,0,0
141,Did Not Survive,3,female,31,15.2458,C,Mrs,3,0,1,0
142,Survived,3,female,22,7.75,S,Miss,1,1,0,0
143,Survived,3,female,24,15.85,S,Mrs,2,0,1,0
144,Did Not Survive,3,male,19,6.75,Q,Mr,1,1,0,0
145,Did Not Survive,2,male,18,11.5,S,Mr,1,1,0,0
146,Did Not Survive,2,male,19,36.75,S,Mr,3,0,1,0
147,Survived,3,male,27,7.7958,S,Mr,1,1,0,0
148,Did Not Survive,3,female,9,34.375,S,Miss,5,0,0,1
149,Did Not Survive,2,male,36,26.0,S,Mr,3,0,1,0
150,Did Not Survive,2,male,42,13.0,S,Officer,1,1,0,0
151,Did Not Survive,2,male,51,12.525,S,Officer,1,1,0,0
152,Survived,1,female,22,66.6,S,Mrs,2,0,1,0
153,Did Not Survive,3,male,55,8.05,S,Mr,1,1,0,0
154,Did Not Survive,3,male,40,14.5,S,Mr,3,0,1,0
155,Did Not Survive,3,male,26,7.3125,S,Mr,1,1,0,0
156,Did Not Survive,1,male,51,61.3792,C,Mr,2,0,1,0
157,Survived,3,female,16,7.7333,Q,Miss,1,1,0,0
158,Did Not Survive,3,male,30,8.05,S,Mr,1,1,0,0
159,Did Not Survive,3,male,26,8.6625,S,Mr,1,1,0,0
160,Did Not Survive,3,male,4,69.55,S,Master,11,0,0,1
161,Did Not Survive,3,male,44,16.1,S,Mr,2,0,1,0
162,Survived,2,female,40,15.75,S,Mrs,1,1,0,0
163,Did Not Survive,3,male,26,7.775,S,Mr,1,1,0,0
164,Did Not Survive,3,male,17,8.6625,S,Mr,1,1,0,0
165,Did Not Survive,3,male,1,39.6875,S,Master,6,0,0,1
166,Survived,3,male,9,20.525,S,Master,3,0,1,0
167,Survived,1,female,40,55.0,S,Mrs,2,0,1,0
168,Did Not Survive,3,female,45,27.9,S,Mrs,6,0,0,1
169,Did Not Survive,1,male,40,25.925,S,Mr,1,1,0,0
170,Did Not Survive,3,male,28,56.4958,S,Mr,1,1,0,0
171,Did Not Survive,1,male,61,33.5,S,Mr,1,1,0,0
172,Did Not Survive,3,male,4,29.125,Q,Master,6,0,0,1
173,Survived,3,female,1,11.1333,S,Miss,3,0,1,0
174,Did Not Survive,3,male,21,7.925,S,Mr,1,1,0,0
175,Did Not Survive,1,male,56,30.6958,C,Mr,1,1,0,0
176,Did Not Survive,3,male,18,7.8542,S,Mr,3,0,1,0
177,Did Not Survive,3,male,4,25.4667,S,Master,5,0,0,1
178,Did Not Survive,1,female,50,28.7125,C,Miss,1,1,0,0
179,Did Not Survive,2,male,30,13.0,S,Mr,1,1,0,0
180,Did Not Survive,3,male,36,0.0,S,Mr,1,1,0,0
181,Did Not Survive,3,female,18,69.55,S,Miss,11,0,0,1
182,Did Not Survive,2,male,31,15.05,C,Mr,1,1,0,0
183,Did Not Survive,3,male,9,31.3875,S,Master,7,0,0,1
184,Survived,2,male,1,39.0,S,Master,4,0,1,0
185,Survived,3,female,4,22.025,S,Miss,3,0,1,0
186,Did Not Survive,1,male,40,50.0,S,Mr,1,1,0,0
187,Survived,3,female,31,15.5,Q,Mrs,2,0,1,0
188,Survived,1,male,45,26.55,S,Mr,1,1,0,0
189,Did Not Survive,3,male,40,15.5,Q,Mr,3,0,1,0
190,Did Not Survive,3,male,36,7.8958,S,Mr,1,1,0,0
191,Survived,2,female,32,13.0,S,Mrs,1,1,0,0
192,Did Not Survive,2,male,19,13.0,S,Mr,1,1,0,0
193,Survived,3,female,19,7.8542,S,Miss,2,0,1,0
194,Survived,2,male,3,26.0,S,Master,3,0,1,0
195,Survived,1,female,44,27.7208,C,Mrs,1,1,0,0
